GridSize,BudgetJ1,BudgetJ2,StrategieJ1,StrategieJ2,NbGames,StartPlayer,VictoiresJ1,VictoiresJ2,PourcentageJ1,PourcentageJ2
14,100,100,RAVE,RAVE,30,BLEU,14,16,46.666666666666664,53.333333333333336
14,100,100,RAVE,MCTS,30,BLEU,30,0,100.0,0.0
14,100,100,MCTS,RAVE,30,BLEU,0,30,0.0,100.0
14,100,100,MCTS,MCTS,30,BLEU,15,15,50.0,50.0
14,100,100,RAVE,RAVE,30,ROUGE,13,17,43.333333333333336,56.666666666666664
14,100,100,RAVE,MCTS,30,ROUGE,30,0,100.0,0.0
14,100,100,MCTS,RAVE,30,ROUGE,0,30,0.0,100.0
14,100,100,MCTS,MCTS,30,ROUGE,17,13,56.666666666666664,43.333333333333336
14,100,250,RAVE,RAVE,30,BLEU,2,28,6.666666666666667,93.33333333333333
14,100,250,RAVE,MCTS,30,BLEU,30,0,100.0,0.0
14,100,250,MCTS,RAVE,30,BLEU,0,30,0.0,100.0
14,100,250,MCTS,MCTS,30,BLEU,2,28,6.666666666666667,93.33333333333333
14,100,250,RAVE,RAVE,30,ROUGE,1,29,3.3333333333333335,96.66666666666667
14,100,250,RAVE,MCTS,30,ROUGE,27,3,90.0,10.0
14,100,250,MCTS,RAVE,30,ROUGE,0,30,0.0,100.0
14,100,250,MCTS,MCTS,30,ROUGE,1,29,3.3333333333333335,96.66666666666667
14,100,500,RAVE,RAVE,30,BLEU,1,29,3.3333333333333335,96.66666666666667
14,100,500,RAVE,MCTS,30,BLEU,21,9,70.0,30.0
14,100,500,MCTS,RAVE,30,BLEU,0,30,0.0,100.0
14,100,500,MCTS,MCTS,30,BLEU,0,30,0.0,100.0
14,100,500,RAVE,RAVE,30,ROUGE,0,30,0.0,100.0
14,100,500,RAVE,MCTS,30,ROUGE,22,8,73.33333333333333,26.666666666666668
14,100,500,MCTS,RAVE,30,ROUGE,0,30,0.0,100.0
14,100,500,MCTS,MCTS,30,ROUGE,0,30,0.0,100.0
14,100,1000,RAVE,RAVE,30,BLEU,0,30,0.0,100.0
14,100,1000,RAVE,MCTS,30,BLEU,1,29,3.3333333333333335,96.66666666666667
14,100,1000,MCTS,RAVE,30,BLEU,0,30,0.0,100.0
14,100,1000,MCTS,MCTS,30,BLEU,0,30,0.0,100.0
14,100,1000,RAVE,RAVE,30,ROUGE,1,29,3.3333333333333335,96.66666666666667
14,100,1000,RAVE,MCTS,30,ROUGE,3,27,10.0,90.0
14,100,1000,MCTS,RAVE,30,ROUGE,0,30,0.0,100.0
14,100,1000,MCTS,MCTS,30,ROUGE,0,30,0.0,100.0
14,100,2000,RAVE,RAVE,30,BLEU,1,29,3.3333333333333335,96.66666666666667
14,100,2000,RAVE,MCTS,30,BLEU,0,30,0.0,100.0
14,100,2000,MCTS,RAVE,30,BLEU,0,30,0.0,100.0
14,100,2000,MCTS,MCTS,30,BLEU,0,30,0.0,100.0
14,100,2000,RAVE,RAVE,30,ROUGE,0,30,0.0,100.0
14,100,2000,RAVE,MCTS,30,ROUGE,0,30,0.0,100.0
14,100,2000,MCTS,RAVE,30,ROUGE,0,30,0.0,100.0
14,100,2000,MCTS,MCTS,30,ROUGE,0,30,0.0,100.0
14,100,3000,RAVE,RAVE,30,BLEU,0,30,0.0,100.0
14,100,3000,RAVE,MCTS,30,BLEU,0,30,0.0,100.0
14,100,3000,MCTS,RAVE,30,BLEU,0,30,0.0,100.0
14,100,3000,MCTS,MCTS,30,BLEU,0,30,0.0,100.0
14,100,3000,RAVE,RAVE,30,ROUGE,1,29,3.3333333333333335,96.66666666666667
14,100,3000,RAVE,MCTS,30,ROUGE,0,30,0.0,100.0
14,100,3000,MCTS,RAVE,30,ROUGE,0,30,0.0,100.0
14,100,3000,MCTS,MCTS,30,ROUGE,0,30,0.0,100.0
14,100,5000,RAVE,RAVE,30,BLEU,1,29,3.3333333333333335,96.66666666666667
14,100,5000,RAVE,MCTS,30,BLEU,0,30,0.0,100.0
14,100,5000,MCTS,RAVE,30,BLEU,0,30,0.0,100.0
14,100,5000,MCTS,MCTS,30,BLEU,0,30,0.0,100.0
14,100,5000,RAVE,RAVE,30,ROUGE,0,30,0.0,100.0
14,100,5000,RAVE,MCTS,30,ROUGE,0,30,0.0,100.0
14,100,5000,MCTS,RAVE,30,ROUGE,0,30,0.0,100.0
14,100,5000,MCTS,MCTS,30,ROUGE,0,30,0.0,100.0
14,250,100,RAVE,RAVE,30,BLEU,29,1,96.66666666666667,3.3333333333333335
14,250,100,RAVE,MCTS,30,BLEU,30,0,100.0,0.0
14,250,100,MCTS,RAVE,30,BLEU,2,28,6.666666666666667,93.33333333333333
14,250,100,MCTS,MCTS,30,BLEU,29,1,96.66666666666667,3.3333333333333335
14,250,100,RAVE,RAVE,30,ROUGE,28,2,93.33333333333333,6.666666666666667
14,250,100,RAVE,MCTS,30,ROUGE,29,1,96.66666666666667,3.3333333333333335
14,250,100,MCTS,RAVE,30,ROUGE,1,29,3.3333333333333335,96.66666666666667
14,250,100,MCTS,MCTS,30,ROUGE,28,2,93.33333333333333,6.666666666666667
14,250,250,RAVE,RAVE,30,BLEU,16,14,53.333333333333336,46.666666666666664
