GridSize,BudgetJ1,BudgetJ2,StrategieJ1,StrategieJ2,NbGames,StartPlayer,VictoiresJ1,VictoiresJ2,PourcentageJ1,PourcentageJ2
9,100,100,RAVE,RAVE,30,BLEU,18,12,60.0,40.0
9,100,100,RAVE,MCTS,30,BLEU,30,0,100.0,0.0
9,100,100,MCTS,RAVE,30,BLEU,1,29,3.3333333333333335,96.66666666666667
9,100,100,MCTS,MCTS,30,BLEU,14,16,46.666666666666664,53.333333333333336
9,100,100,RAVE,RAVE,30,ROUGE,13,17,43.333333333333336,56.666666666666664
9,100,100,RAVE,MCTS,30,ROUGE,30,0,100.0,0.0
9,100,100,MCTS,RAVE,30,ROUGE,1,29,3.3333333333333335,96.66666666666667
9,100,100,MCTS,MCTS,30,ROUGE,12,18,40.0,60.0
9,100,250,RAVE,RAVE,30,BLEU,7,23,23.333333333333332,76.66666666666667
9,100,250,RAVE,MCTS,30,BLEU,23,7,76.66666666666667,23.333333333333332
9,100,250,MCTS,RAVE,30,BLEU,0,30,0.0,100.0
9,100,250,MCTS,MCTS,30,BLEU,5,25,16.666666666666668,83.33333333333333
9,100,250,RAVE,RAVE,30,ROUGE,9,21,30.0,70.0
9,100,250,RAVE,MCTS,30,ROUGE,22,8,73.33333333333333,26.666666666666668
9,100,250,MCTS,RAVE,30,ROUGE,0,30,0.0,100.0
9,100,250,MCTS,MCTS,30,ROUGE,3,27,10.0,90.0
9,100,500,RAVE,RAVE,30,BLEU,5,25,16.666666666666668,83.33333333333333
9,100,500,RAVE,MCTS,30,BLEU,17,13,56.666666666666664,43.333333333333336
9,100,500,MCTS,RAVE,30,BLEU,0,30,0.0,100.0
9,100,500,MCTS,MCTS,30,BLEU,1,29,3.3333333333333335,96.66666666666667
9,100,500,RAVE,RAVE,30,ROUGE,6,24,20.0,80.0
9,100,500,RAVE,MCTS,30,ROUGE,14,16,46.666666666666664,53.333333333333336
9,100,500,MCTS,RAVE,30,ROUGE,0,30,0.0,100.0
9,100,500,MCTS,MCTS,30,ROUGE,0,30,0.0,100.0
9,100,1000,RAVE,RAVE,30,BLEU,4,26,13.333333333333334,86.66666666666667
9,100,1000,RAVE,MCTS,30,BLEU,5,25,16.666666666666668,83.33333333333333
9,100,1000,MCTS,RAVE,30,BLEU,0,30,0.0,100.0
9,100,1000,MCTS,MCTS,30,BLEU,0,30,0.0,100.0
9,100,1000,RAVE,RAVE,30,ROUGE,3,27,10.0,90.0
9,100,1000,RAVE,MCTS,30,ROUGE,5,25,16.666666666666668,83.33333333333333
9,100,1000,MCTS,RAVE,30,ROUGE,0,30,0.0,100.0
9,100,1000,MCTS,MCTS,30,ROUGE,0,30,0.0,100.0
9,100,2000,RAVE,RAVE,30,BLEU,7,23,23.333333333333332,76.66666666666667
9,100,2000,RAVE,MCTS,30,BLEU,1,29,3.3333333333333335,96.66666666666667
9,100,2000,MCTS,RAVE,30,BLEU,0,30,0.0,100.0
9,100,2000,MCTS,MCTS,30,BLEU,0,30,0.0,100.0
9,100,2000,RAVE,RAVE,30,ROUGE,9,21,30.0,70.0
9,100,2000,RAVE,MCTS,30,ROUGE,1,29,3.3333333333333335,96.66666666666667
9,100,2000,MCTS,RAVE,30,ROUGE,0,30,0.0,100.0
9,100,2000,MCTS,MCTS,30,ROUGE,0,30,0.0,100.0
9,100,3000,RAVE,RAVE,30,BLEU,4,26,13.333333333333334,86.66666666666667
9,100,3000,RAVE,MCTS,30,BLEU,0,30,0.0,100.0
9,100,3000,MCTS,RAVE,30,BLEU,0,30,0.0,100.0
9,100,3000,MCTS,MCTS,30,BLEU,0,30,0.0,100.0
